Date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,PS,TQV,CLOUD_AMT,TOA_SW_DWN,City
3/6/2020,3.93,8.57,0.5,80.61,0.08,2.74,3.3948,3.6559,99.58,8.88,30.86,5.3753,London
3/7/2020,6.26,11.97,0.13,92.66,0.11,4.32,1.8862,3.6137,100.53,14.04,86.88,5.4578,London
3/8/2020,8.52,11.46,4.9,88.12,2.2,6.33,2.527,3.8378,99.7,13.75,59.56,5.5406,London
3/9/2020,6.66,9.31,4.23,88.88,7,5.27,2.3779,3.9557,100.11,15.3,66.79,5.6242,London
3/10/2020,11.2,14.36,9.06,91.91,2.33,6.77,1.7467,3.8302,99.53,25.72,95.94,5.7079,London
3/11/2020,10,13.22,7.62,87.74,1.14,5.9,2.7634,4.0524,99.92,14.36,64.54,5.7914,London
3/12/2020,6.11,8.47,3.15,80.44,0.54,7.04,3.6857,4.3013,100.04,8.97,28.85,5.8754,London
3/13/2020,6.49,10.36,4.17,85.74,0.39,4.19,2.6184,4.247,100.78,10.35,71.33,5.9599,London
3/14/2020,8.28,12.37,4.84,89.55,3.39,4.31,2.2879,4.1462,100.41,15.07,97.83,6.0442,London
3/15/2020,8.1,10.74,4.18,90.45,1.6,4.99,1.2991,4.0836,99.95,14.87,92.34,6.1289,London
3/16/2020,5.65,11.55,2.32,85.53,0.03,2.22,4.4359,4.5521,101.19,7.65,17.81,6.2136,London
3/17/2020,7.51,12.71,2.19,89.79,0.04,4.52,2.2183,4.1714,101.76,18.39,80.84,6.2988,London
3/18/2020,10.03,14.07,6.67,92.11,0.54,3.9,1.5727,4.0932,101.54,17.86,97.22,6.3838,London
3/19/2020,6.93,8.39,5.19,92.84,1.26,3.22,1.1515,4.2355,101.65,16.12,93.43,6.4687,London
3/20/2020,6.15,10.01,3.73,80.08,0.03,5.34,2.9981,4.5857,101.88,12.77,86.79,6.5537,London
3/21/2020,4.89,8.79,1.81,75.85,0,5.09,4.1705,4.998,101.72,4.67,80.85,6.6389,London
3/22/2020,4.64,9.2,0.48,76.09,0,4.37,4.6214,4.9541,101.78,3.94,47.03,6.7241,London
3/23/2020,4.43,9.93,-0.13,75.05,0,3.44,4.902,5.027,101.8,2.84,10.44,6.809,London
3/24/2020,5.2,12.28,-0.24,76.29,0,2.83,4.8182,4.854,101.69,4.04,11.83,6.894,London
3/25/2020,4.25,11.65,-1.72,76.25,0,2.26,5.1955,5.1986,101.57,4.04,1.96,6.979,London
3/26/2020,4.71,11.32,-0.29,76.47,0,3.26,5.1504,5.1768,101.43,5.14,8.7,7.0639,London
3/27/2020,5.87,12.18,0.22,77.89,0.01,4.59,4.9452,4.9774,101.46,9.19,1.45,7.1484,London
3/28/2020,5.77,10.72,2.46,79.29,0.11,6.35,3.2443,5.0546,101.92,11.32,48.28,7.2329,London
3/29/2020,3.68,6.91,1.24,68.79,0.21,6.61,4.2874,5.5867,102.76,5.88,56.08,7.3174,London
3/30/2020,4.12,8.99,-1.11,84.44,0.65,3.74,2.7475,5.2339,102.45,10.31,82.24,7.4016,London
3/31/2020,4.93,10.06,-0.51,78.73,0.14,3.49,3.8575,5.5051,102.19,8.15,43.38,7.4854,London
4/1/2020,4.43,10.25,-1.54,81.01,0.05,1.51,2.6921,5.5757,101.42,8.47,71.63,7.5691,London
4/2/2020,7.03,12.84,0.93,86.01,0.26,3.22,3.0662,5.6234,100.64,11.71,70.23,7.6524,London
4/3/2020,7.51,11.8,3.39,82.28,0.31,1.97,3.6122,5.7398,100.84,11.77,76.43,7.7357,London
4/4/2020,7.97,14.27,3.43,82.75,0.07,2.49,4.4825,5.6561,101.12,10.18,48.62,7.8182,London
4/5/2020,11.17,17.24,4.57,75.58,0,4.17,5.178,5.7588,100.52,8.38,32.46,7.9006,London
4/6/2020,11.14,15.82,5.55,82.52,0.19,3.14,4.7822,5.8843,100.89,15.34,54.64,7.9824,London
4/7/2020,10.36,17.1,3.26,79.88,0,1.88,5.2404,5.8109,101.96,14.31,59.32,8.064,London
4/8/2020,13.01,20.63,6.54,78.53,0.03,1.48,3.9953,5.2596,101.57,20.14,65.7,8.1446,London
4/9/2020,12.23,20.02,6.5,76.5,0,2.69,5.213,5.3743,101.61,18.06,30.59,8.2253,London
4/10/2020,12.52,20.04,6.8,79.89,0.02,2.97,5.2949,5.4175,101.57,15.63,30.74,8.3052,London
4/11/2020,14.19,22.18,6.23,75.09,0,1.48,5.0198,5.3698,101.29,16.19,35.02,8.3846,London
4/12/2020,14.73,21.23,8.71,73.68,0.21,2,4.8926,5.641,100.59,17.11,65.17,8.4634,London
4/13/2020,6.93,10.55,1.69,70.55,0.18,5.69,5.1977,6.2698,101.62,10.6,54.21,8.5418,London
4/14/2020,5.82,11.86,1.19,73.4,0,2.13,6.2381,6.4272,101.91,9.91,29.57,8.6196,London
4/15/2020,8.09,15.8,1.7,75.37,0,1.91,6.2465,6.36,101.36,12.22,21.72,8.6966,London
4/16/2020,10.71,18.03,3.32,79.06,0.02,2.02,4.4381,5.9834,100.72,14.89,68.27,8.7732,London
4/17/2020,9.31,13.72,6.3,83.13,1.87,4.73,2.3374,5.9354,100.75,20.06,92.43,8.8493,London
4/18/2020,9.48,13.85,6.45,87.33,6.44,2.76,2.1938,5.6268,100.84,19.65,87.57,8.9244,London
4/19/2020,9.29,15.73,4.27,75.64,0,3.93,6.4709,6.557,101.07,10.47,22.9,8.999,London
4/20/2020,9.99,15.14,5.07,71.66,0,5.52,6.7836,6.7886,100.82,7.88,10.36,9.073,London
4/21/2020,10.84,15.53,6.53,71.52,0,4.93,6.6667,6.6833,100.78,9.2,19.4,9.1459,London
4/22/2020,11.52,18.12,6.15,75.66,0.01,3.65,6.7193,6.733,101.04,8.16,6.41,9.2184,London
4/23/2020,12.75,20.61,6.72,76.21,0.02,2.42,6.5266,6.733,101.04,8.98,39.38,9.2902,London
4/24/2020,11.87,19.65,4.52,77.29,0,1.62,6.5887,6.6655,100.69,11.78,25.26,9.3614,London
4/25/2020,9.42,15.53,4.08,80.16,0.01,2.18,6.1205,6.7277,100.6,10.15,20.5,9.4315,London
4/26/2020,10.71,18.16,3.09,74.25,0,1.17,6.4169,6.673,100.28,11.85,15.13,9.5009,London
4/27/2020,11.41,16.14,5.06,81.52,0.57,1.78,3.8441,5.9714,99.82,19.42,84.86,9.5693,London
4/28/2020,7.62,8.77,6.17,92.82,14.75,3.58,1.0291,6.6226,99.51,20.2,99.69,9.6374,London
4/29/2020,8.96,12.43,5.22,87.97,4.61,3.29,3.5448,6.5755,99.23,15.47,93.43,9.7044,London
4/30/2020,8.72,12.05,5.64,85.63,6.86,5.08,3.1013,7.1719,98.62,13.12,75.33,9.7704,London
5/1/2020,9.13,13.23,5.72,82.01,2,4.06,4.675,7.0344,99.04,12.73,74.8,9.8357,London
5/2/2020,10.32,15.29,5.33,77.5,0.2,2.58,6.4615,7.3814,100.15,12.31,48.24,9.8998,London
5/3/2020,10.76,14.44,6.06,80.45,0.35,1.63,2.6587,6.7694,100.66,17.48,99.76,9.9626,London
5/4/2020,11.18,16.07,6.41,78.24,0.11,3.26,4.8718,6.6895,101.04,13.94,82.46,10.0248,London
5/5/2020,8.92,13.45,4.06,71.96,0,4.72,6.4092,7.6061,101.23,7.57,53.98,10.0855,London
5/6/2020,9.85,16.5,3.09,74.17,0,2.62,7.2588,7.5247,101.62,8.7,0.58,10.146,London
5/7/2020,12.49,19.98,3.83,75.22,0,1.73,6.6703,7.2775,101.35,15.9,47.99,10.2048,London
5/8/2020,14.95,21.4,8.31,65.69,0,1.19,6.2009,6.9826,100.88,19.68,63.39,10.2626,London
5/9/2020,14.87,21.52,8.15,71.07,0,2.26,6.5342,7.0111,100.36,17.58,41.42,10.3195,London
5/10/2020,11.13,17.7,4.81,76.53,0.12,5.52,2.8286,6.8501,100.13,19.13,87.98,10.3752,London
5/11/2020,6.85,10.88,2.08,63.19,0.01,6.25,5.8786,8.1497,101.03,7.64,52.26,10.4297,London
5/12/2020,7.91,14.06,0.02,71.13,0.01,1.62,6.3281,7.7918,101.08,9.32,48.83,10.483,London
5/13/2020,7.17,11.79,2.51,71.56,0.04,4,5.3474,7.9046,100.81,8.88,59.27,10.5358,London
5/14/2020,7.46,13.39,1.21,70.29,0,3.13,7.1789,8.0462,101.34,8.05,20.98,10.5869,London
5/15/2020,10.28,17.06,0.86,72.36,0,1.33,6.612,7.703,101.45,11.07,31.01,10.637,London
5/16/2020,10.7,16.13,4.21,74.9,0.01,2.06,5.3875,7.6673,101.46,14.38,88.95,10.686,London
5/17/2020,12.58,17.13,6.38,73.79,0.01,2.33,5.707,7.482,101.44,23.44,79.65,10.7338,London
5/18/2020,14.35,19.99,8.45,72.78,0.01,3.18,7.5094,7.8406,101.45,17.43,71.11,10.7803,London
5/19/2020,16.43,22.72,9.79,75.93,0,2.17,7.2266,7.7849,101.41,26.03,38.38,10.8257,London
5/20/2020,17.52,23.72,11.63,74.53,0,1.82,7.8982,8.0232,101.24,20.31,10,10.8694,London
5/21/2020,17.63,24.35,10.15,75.01,0.06,1.66,7.7827,8.0974,100.96,19.78,58.02,10.9121,London
5/22/2020,15.4,18.78,11.45,71,0.11,5.34,6.6948,8.1199,100.67,20.29,80.23,10.9536,London
5/23/2020,13.05,16.18,9.65,70.18,0.38,5.84,6.4402,8.075,101.33,13.27,60.67,10.9939,London
5/24/2020,14.74,19.73,9.59,76.01,0.08,3.82,6.3425,7.6879,102.09,22.15,73.62,11.0328,London
5/25/2020,16.51,23.04,8.86,72.03,0,1.26,8.1775,8.2903,102.5,16.57,12.77,11.0707,London
5/26/2020,16.98,22.76,9.61,71.19,0,1.6,7.2106,7.9236,102.63,23.49,52.65,11.1072,London
5/27/2020,16.75,22.83,10.34,74.02,0.01,1.61,6.2966,7.8319,102.65,27.42,67.33,11.142,London
5/28/2020,14.07,19.1,9.09,71.04,0.01,3.05,8.0242,8.135,102.48,17.88,27.7,11.1756,London
5/29/2020,14.24,20.14,8.72,68.17,0,3.05,8.3736,8.3741,101.89,13.73,0.58,11.208,London
5/30/2020,15.32,21.55,8.39,71.51,0.06,3.24,8.2728,8.2992,101.43,12.58,0.89,11.239,London
5/31/2020,15.69,21.46,9.91,70.12,0.05,3.84,7.986,8.2231,101.38,13.96,6.55,11.2687,London
6/1/2020,16.19,22.51,9.34,72.49,0.04,3,7.6608,7.9606,101.36,19.07,10.86,11.2966,London
6/2/2020,16.3,21.91,9.01,70.11,0,2.15,7.8912,8.2966,100.95,19,35.89,11.3234,London
6/3/2020,14.65,18.49,10.75,76.28,0.71,2.65,2.4266,6.8801,99.95,22.02,99.31,11.3489,London
6/4/2020,11.93,15.77,9.04,78.07,1.72,3.61,3.3953,7.9788,99.33,18.01,97.78,11.3729,London
6/5/2020,11.38,14.33,8.34,71.75,1.62,4.5,5.423,8.315,98.75,13.97,81.22,11.3952,London
6/6/2020,9.83,12.86,5.77,81.48,4.08,5.01,4.0133,8.2865,99.01,15.13,68.34,11.4158,London
6/7/2020,11.53,16.07,7.01,84.98,2.37,2.52,5.1852,7.9639,100.03,18.46,74.3,11.4353,London
6/8/2020,12.06,16.53,8.03,76.17,0.16,2.94,5.0724,8.0597,100.93,17.63,84.13,11.4526,London
6/9/2020,13.24,17.66,7.33,71.64,0.16,1.38,5.0544,7.8034,101.07,19.87,93.18,11.4686,London
6/10/2020,12.7,15.2,9.44,85.17,4.91,2.35,2.6354,7.4196,100.58,21.83,99.54,11.4838,London
6/11/2020,13.82,18.69,8.39,84.9,1.84,4.08,2.8958,7.0934,100.21,22.31,95.54,11.4967,London
6/12/2020,15.1,18.3,11.26,88.36,3.12,4.06,3.025,6.8549,99.68,24.69,87.36,11.5085,London
6/13/2020,16.9,21.47,12.63,78.34,1.33,3.28,6.4982,8.2958,100.03,22.6,68.76,11.5188,London
6/14/2020,16.28,20.41,11.17,78.97,0.5,2.13,5.6304,8.0736,100.53,22.7,48.14,11.5277,London
6/15/2020,16.65,22.01,9.84,76.14,1.07,1.35,6.109,8.1053,100.73,24.43,71.36,11.5349,London
6/16/2020,16.71,21.05,10.89,76.82,1.94,1.42,5.4938,7.7885,100.53,24.68,70.81,11.5406,London
6/17/2020,17.3,20.74,13.35,74.85,5.58,0.78,4.38,7.3027,100.34,26.29,96.04,11.5452,London
6/18/2020,14.85,18.17,11.31,85.23,19.77,2.25,3.0024,7.7021,100.13,24.64,87.1,11.5476,London
6/19/2020,14.71,19,10.96,80.39,0.81,4.04,3.9002,8.1002,100.57,22.17,92.85,11.5493,London
6/20/2020,15.94,19.99,10.39,78.02,0.38,3.23,5.0467,8.0734,101.03,23.24,91.34,11.5488,London
6/21/2020,16.46,21.03,11.22,75.61,1.61,4.17,6.0029,8.3203,100.83,20.15,66.45,11.5471,London
6/22/2020,15.46,21.39,8.25,71.76,0.02,2.99,8.1737,8.3179,101.56,20.32,10.55,11.544,London
6/23/2020,18.29,24.82,10.27,72.86,0,2.29,8.0822,8.1624,101.47,24.3,13.17,11.5394,London
6/24/2020,20.83,27.34,13.86,71.76,0,2.94,8.0621,8.0666,101.15,22.31,1.1,11.5332,London
6/25/2020,21.41,27.91,14.53,71.24,0,2.64,7.3133,8.1523,100.67,19.2,15.12,11.5255,London
6/26/2020,20.75,27.26,14.19,74.83,6.87,2.62,7.0591,7.5773,100,32.83,57.74,11.5164,London
6/27/2020,16.57,20.28,12.88,79.44,4.08,5.68,3.8462,8.0794,99.65,24.33,92.61,11.5063,London
6/28/2020,15.02,18.78,10.96,71.48,0.93,5.82,6.0401,8.3983,100.06,17.5,65.7,11.4941,London
6/29/2020,14.61,18.38,10.1,68.32,0.11,5.98,4.7616,8.4362,100.08,19.41,88.58,11.4804,London
6/30/2020,15.53,18.95,11.01,84.66,2.24,4.25,3.0122,7.9884,99.8,28.2,94.87,11.4658,London
7/1/2020,16.44,20.33,12.62,80.91,1.79,4.1,4.5775,8.0633,99.68,24.06,80.4,11.4492,London
7/2/2020,15.74,19.73,10.8,80.51,2.67,3.14,4.4191,7.9526,100.22,22.42,76.32,11.4314,London
7/3/2020,15.74,20.64,10.54,75.95,0.52,5.32,4.8658,7.6973,100.63,27.84,93.86,11.412,London
7/4/2020,17.75,22.05,13.99,84.51,1.61,6.29,2.9042,7.8281,100.15,38.12,90.79,11.3911,London
7/5/2020,17.07,20.92,11.67,67.57,0.25,6.9,6.553,8.3266,100.18,20.53,57.85,11.3688,London
7/6/2020,15.14,19.66,10.5,70.16,0.12,4.12,4.9966,8.4043,100.98,17.04,57.46,11.345,London
7/7/2020,15.43,20.59,8.72,73.73,4.1,2.75,4.1057,8.0088,101.03,27.17,88.95,11.3196,London
7/8/2020,17.04,20.86,13.82,86.47,7.1,3.5,2.7362,7.6747,100.52,35.78,99.63,11.2932,London
7/9/2020,17.23,20.22,13.68,87.09,5.89,4.12,2.6386,7.6819,100.24,32.07,97.3,11.2651,London
7/10/2020,14.68,18.71,10.51,73.19,0.76,3.51,5.5591,7.9123,100.87,17.22,58.86,11.2354,London
7/11/2020,14.75,19.87,8.36,70.43,0.02,2.56,6.3919,8.189,101.72,15.08,36.07,11.2046,London
7/12/2020,16.8,22.15,11.12,67.54,0,1.08,7.229,8.1218,101.87,17.22,49.72,11.1725,London
7/13/2020,16.94,23.05,10.21,67.46,2.44,2.39,5.784,7.9231,101.38,26.45,81.84,11.1389,London
7/14/2020,16.63,19.79,12.63,78.97,1.31,2.29,4.2101,7.8233,100.74,26.41,98.15,11.1041,London
7/15/2020,15.69,19.56,9.99,78.55,0.42,2.19,2.8759,7.6858,100.7,31.15,98.38,11.0678,London
7/16/2020,17.8,22.28,12.88,78.8,0.21,2.67,4.4222,7.7438,101.06,28.64,85.75,11.0304,London
7/17/2020,20.18,26.1,14.44,73.53,0.02,1.93,6.8179,7.842,101.13,22.28,35.68,10.9918,London
7/18/2020,18.69,24.52,12.47,73.65,0.66,2.5,5.3371,7.8996,100.9,22.37,87.45,10.9519,London
7/19/2020,16.57,19.69,12.07,80.22,2.4,1.94,4.8348,7.7743,100.88,25.44,70.01,10.9106,London
7/20/2020,15.45,21.26,9.12,68.62,0.01,2.27,7.5082,8.1523,101.38,13.89,14.5,10.8684,London
7/21/2020,15.43,21.28,8.37,67.31,0,1.85,6.5419,7.7906,101.68,19.46,40.01,10.825,London
7/22/2020,17.46,23.65,10.56,65.83,0,2.35,6.1546,7.5715,101.42,24.95,59.21,10.7803,London
7/23/2020,17.55,23.37,11.3,67.91,0.02,3.23,5.3849,7.4578,100.68,24.59,78.42,10.7342,London
7/24/2020,18.99,24.43,13.85,76.04,0.4,3.12,4.4131,7.4705,100.32,27.77,91.65,10.6872,London
7/25/2020,17.88,22.52,14.6,86.72,9.77,4.64,2.754,7.2283,99.84,29.92,82.07,10.639,London
7/26/2020,17.2,22.11,12.46,74.63,0.24,4.04,4.8686,7.6373,100.16,22.02,73.6,10.5898,London
7/27/2020,17.86,21.63,13.86,82.18,3.42,5.43,2.7245,7.3819,99.85,26.81,75.67,10.5394,London
7/28/2020,16.18,21.54,11.19,68.81,0.06,3.96,5.2505,7.675,100.5,16.14,45.37,10.4887,London
7/29/2020,16.8,23.24,8.98,67.75,0,2.09,5.7485,7.3831,101.08,22.46,70.02,10.4364,London
7/30/2020,19.4,26.27,13.29,64.36,0,2.12,7.2322,7.4969,100.93,26.43,29.04,10.3836,London
7/31/2020,22.28,31.13,15.23,67.24,0.4,3.81,6.3718,6.9518,100.33,26.87,37.42,10.3291,London
8/1/2020,19.76,24.45,14.98,72.11,0.2,3.33,5.329,7.3063,100.61,23.62,47.22,10.2734,London
8/2/2020,17.71,23.33,11.38,68.46,0.06,2.84,5.826,7.4419,100.71,20.14,56.61,10.2168,London
8/3/2020,16.88,21.4,12.67,67.07,0.2,2.55,5.7494,7.2473,100.67,19.45,67.73,10.1592,London
8/4/2020,17,21.96,10.59,66.63,0,3.42,5.083,7.1854,100.67,24.27,71.07,10.1004,London
8/5/2020,19.05,24.02,13.63,68.55,0.05,4.87,4.913,7.1614,100.42,26.82,80.12,10.0406,London
8/6/2020,21.48,27.63,16.46,71.22,0.2,2.57,3.6367,6.7651,100.81,31.56,67.47,9.9802,London
8/7/2020,24.19,32.76,15.43,60.83,0.04,1.47,5.8171,6.9948,100.92,23.66,43.55,9.9185,London
8/8/2020,23.36,29.6,18.04,66.48,0,2.56,5.1917,6.4922,101.03,31.33,65.67,9.8558,London
8/9/2020,22.92,30.42,16.54,70.98,0.06,3.18,4.8557,6.0233,100.84,30.21,68.12,9.7925,London
8/10/2020,23.39,29.79,18.12,75.26,1.56,2.55,5.0638,5.707,100.55,37.92,66.22,9.7282,London
8/11/2020,25.2,32.79,18.9,65.73,0.22,1.27,5.6866,6.0665,100.55,34.95,49.61,9.6629,London
8/12/2020,24.43,32.42,18.55,68.66,0.65,1.67,5.346,6.0206,100.47,36.61,59.67,9.5969,London
8/13/2020,22.73,28.9,18.41,76.4,4.12,1.9,2.9909,5.3623,100.36,38.23,93.88,9.5306,London
8/14/2020,20.1,23.57,16.97,85.47,5.92,1.6,1.3567,5.8356,100.43,42.06,99.24,9.4632,London
8/15/2020,20.41,24.82,16.85,84.76,6.85,1.47,1.1554,5.8142,100.5,39.31,99.17,9.3946,London
8/16/2020,19.61,22.96,16.36,82.71,2.88,1.01,2.8745,5.754,100.19,29.14,89.81,9.3254,London
8/17/2020,18.26,22.26,14.35,80.07,3.08,2.31,3.6847,6.0893,99.94,28.82,82.56,9.2556,London
8/18/2020,18.72,23.34,14.28,77.64,1.06,3.38,4.5338,6.4464,100.02,27.06,78.72,9.1853,London
8/19/2020,18.2,20.64,14.11,91.76,9.83,3.99,1.5106,5.9686,99.48,36.37,96.52,9.1142,London
